"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2";"CP_Elec_4x5.7";2;"CP";;;
2;"C3,C4,C5,C6";"C_0603_1608Metric";4;"16pF";;;
3;"J1,J2";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04_Female";;;
4;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"BIND";;;
5;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"CH1";;;
6;"J5";"PinHeader_1x03_P2.54mm_Vertical";1;"CH2";;;
7;"J6";"PinHeader_1x03_P2.54mm_Vertical";1;"CH3";;;
8;"J7,J12,J13";"PinHeader_1x03_P2.54mm_Vertical";3;"CH4";;;
9;"J8";"PinHeader_1x03_P2.54mm_Vertical";1;"CH5";;;
10;"J9";"PinHeader_1x03_P2.54mm_Vertical";1;"CH6";;;
11;"J10";"PinHeader_1x03_P2.54mm_Vertical";1;"CH7";;;
12;"J11";"PinHeader_1x03_P2.54mm_Vertical";1;"CH8";;;
13;"R1,R2";"R_1206_3216Metric";2;"2.2k";;;
14;"R3";"R_1206_3216Metric";1;"10k";;;
15;"U1,U2";"TQFP-32_7x7mm_P0.8mm";2;"ATmega328-AU";;;
16;"U3";"SOT-223";1;"LM1117-3.3";;;
17;"Y1,Y2";"Crystal_SMD_3225-4Pin_3.2x2.5mm";2;"Crystal";;;
